;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;102420236;08/30/2010;10:37 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107543031363605, -87.94659012479057];4957 N 27TH ST
1;102420244;08/30/2010;11:19 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.127431910352584, -87.95846236078269];6034 N 37TH ST
2;102410118;08/29/2010;04:09 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10478626553427, -87.97351548934246];4852 W HAMPTON AV
3;102400084;08/28/2010;11:22 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0945652200935, -87.93807435356932];4214 N 21ST ST
4;102390073;08/27/2010;07:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL
5;102380023;08/26/2010;02:36 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10603916180969, -87.94405387910454];4870 N 25TH ST
6;102370144;08/25/2010;09:34 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08944247879261, -87.92400213918864];1016 W CAPITOL DR
7;102360026;08/24/2010;07:05 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10437554674263, -87.94234391909515];2421 W HAMPTON AV
8;102360151;08/24/2010;07:13 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10463706996437, -87.94658937901069];4800 N TEUTONIA AV
9;102350069;08/23/2010;11:08 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09161417346644, -87.92703057372015];4113 N 13TH ST
10;102350149;08/23/2010;05:27 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095360122395995, -87.9380728607827];4250 N 21ST ST
11;102350176;08/23/2010;06:58 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09165777990651, -87.94349059925536];4101 N 24TH PL
12;102350190;08/23/2010;07:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09521227821744, -87.94462912589584];2500 W ROOSEVELT DR
13;102320098;08/20/2010;01:15 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.112689522621025, -87.96626588184586];5230 N SHERMAN BL
14;102320127;08/20/2010;03:53 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09340413627447, -87.93550591185313];4172 N 19TH PL
15;102310174;08/19/2010;07:30 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.092403575076474, -87.93932543738836];4114 N 22ND ST
16;102310181;08/19/2010;08:08 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10443048600598, -87.93369022009348];1820 W HAMPTON AV
17;102560077;08/18/2010;09:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13507419900168, -87.96220116201123];6453 N 40TH ST
18;102290050;08/17/2010;09:44 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.101633288937535, -87.93262469161542];4662 N 18TH ST
19;102280031;08/16/2010;07:59 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.095756680273276, -87.93182885191491];4328 N 17TH ST
20;102270092;08/15/2010;02:51 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09571810778407, -87.94162362643796];2364 W ROOSEVELT DR
21;102260093;08/14/2010;02:30 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13943172472614, -87.95399822712224];6702-F N TEUTONIA AV
22;102270103;08/14/2010;02:02 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14193839936102, -87.95635087519636];6831 N DARIEN ST #1
23;102250020;08/13/2010;02:10 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09146349437317, -87.93544202983439];1900 W FIEBRANTZ AV
24;102240156;08/12/2010;08:44 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.131222546742606, -87.95985269608748];3801 W DOUGLAS AV
25;102220049;08/10/2010;09:31 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10203583819032, -87.9504376031505];4653 N 30TH ST
26;102220060;08/10/2010;10:18 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094987800998325, -87.93923437910455];4234 N 22ND ST
27;102210036;08/09/2010;08:23 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.116793385607515, -87.9574867584253];5468 N 36TH ST
28;102210049;08/09/2010;10:09 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11939246768411, -87.965163];4210 W SILVER SPRING DR
29;102180070;08/06/2010;11:15 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091019199001664, -87.94573159925535];4053 N 26TH ST
30;102170050;08/05/2010;06:39 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.126647293398754, -87.96242144915438];4020 W FLORIST AV
31;102160163;08/04/2010;06:59 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11939250822297, -87.9656815771826];4240 W SILVER SPRING DR
32;102140057;08/02/2010;08:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09875950291419, -87.93943962479058];4481 N 22ND ST
33;102140112;08/02/2010;10:50 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.129494859282154, -87.95598541459444];6152 N 35TH ST
34;102130020;08/01/2010;01:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111768806341956, -87.95266125731982];3123 W VILLARD AV
35;102430027;08/31/2010;01:35 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08921866472389, -87.99938235356932];3968 N 70TH ST
36;102440005;08/31/2010;09:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.089102335276124, -87.99945815753918];3965 N 70TH ST
37;102420086;08/30/2010;11:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.048892460470746, -87.97497165889548];4904 W VLIET ST
38;102420117;08/30/2010;01:27 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07373958673324, -87.98311160646873];3009 N 56TH ST
39;102400002;08/28/2010;12:08 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.085915413266775, -87.98825588631792];3766 N 61ST ST
40;102400121;08/28/2010;09:55 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04679750678067, -87.96619333236194];4117 W MC KINLEY CT
41;102390152;08/27/2010;02:40 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04874207090502, -87.97311449269651];4717 W VLIET ST
42;102380057;08/26/2010;09:50 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07190209253864, -87.97618837523346];2915 N 50TH ST
43;102380197;08/26/2010;09:16 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08261647013695, -87.98508];5719 W KEEFE AV
44;102350107;08/23/2010;01:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07926782820699, -87.98417099027648];3292 N NORWOOD PL
45;102340049;08/22/2010;10:30 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.041762587829744, -87.98639648430387];5911 W TRENTON PL
46;102320136;08/20/2010;05:08 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06392072191116, -87.97938657395129];5230 W LISBON AV
47;102270032;08/15/2010;06:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05191336081137, -87.97998763200395];1613 N 53RD ST
48;102270041;08/15/2010;09:05 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04796283236195, -87.96708436078269];1360 N 42ND ST
49;102260011;08/14/2010;12:07 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07197624865847, -87.99483375119729];6625 W LISBON AV
50;102250065;08/13/2010;10:01 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08619350207747, -88.00598656789177];3789 N 75TH ST
51;102250166;08/13/2010;06:53 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0301797857349, -88.01461601731225];150 S HONEY CREEK PK
52;102210045;08/09/2010;07:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08798261697164, -88.002679325033];7261 W APPLETON AV
53;102200151;08/08/2010;07:42 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0282082514571, -87.99868063200395];409 S 69TH ST
54;102180067;08/06/2010;11:06 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.02551658090485, -88.00715245282562];620 S 76TH ST
55;102160173;08/04/2010;07:53 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.073474483841586, -87.9761812590745];5000 W CHAMBERS ST
56;102150046;08/03/2010;08:00 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07865271882408, -87.98170760517064];5531 W ROOSEVELT DR
57;102140245;08/02/2010;11:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08798261697164, -88.002679325033];7261 W APPLETON AV
58;102420013;08/30/2010;12:09 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.978230025535225, -88.03381247735031];3638 S 97TH ST
59;102390033;08/27/2010;12:01 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.987815696087495, -87.96790952654483];3119 S 43RD ST
60;102380148;08/26/2010;05:51 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.982567080789266, -87.97876535056822];5130 W FOREST HOME AV
61;102350021;08/23/2010;03:10 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00122748600597, -87.95760316763806];3424 W HAYES AV
62;102320082;08/20/2010;11:41 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98543069608749, -88.0176195337582];3245 S 84TH ST
63;102290025;08/17/2010;04:57 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9721341458059, -87.98822352741092];6000 W NORWICH ST
64;102230066;08/11/2010;12:51 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99091116180969, -87.98761498066852];2950 S 60TH ST
65;102230098;08/11/2010;03:45 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97068740743839, -87.98675402842076];4062 S 58TH ST
66;102210157;08/09/2010;03:46 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.974281172037976, -87.99186421967839];6313 W FOREST HOME AV
67;102210219;08/09/2010;06:27 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
68;102430069;08/31/2010;09:59 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.018878016457656, -87.92919895947426];1214 S 14TH ST
69;102420038;08/30/2010;05:36 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01853299999999, -87.9394153968495];1218 S 21ST ST
70;102400045;08/28/2010;06:57 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01829016763807, -87.93556856650677];1233 S 18TH ST
71;102390172;08/27/2010;03:49 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.011377968636396, -87.919873430175];1736 S 7TH ST
72;102360100;08/24/2010;03:05 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00807545045876, -87.92968098990112];2005 S 14TH ST
73;102360215;08/24/2010;09:37 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0045605529119, -87.92853111292433];1305 W GRANT ST
74;102290093;08/17/2010;02:31 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015363658895495, -87.93064547735031];1526 S 15TH ST
75;102270122;08/15/2010;05:28 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01301538190319, -87.9268634662418];1650 S 12TH ST
76;102260096;08/14/2010;03:20 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99891207799067, -87.92725397013695];2506 S 12TH ST
77;102230024;08/11/2010;12:42 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0110455115412, -87.91916047446477];616 W MAPLE ST
78;102260043;08/11/2010;10:02 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03137253549082, -87.92654120719598];1201 W CANAL ST
79;102220171;08/10/2010;08:58 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02327352596792, -87.9185115];600 W NATIONAL AV
80;102210003;08/09/2010;12:32 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01351329447746, -87.93201734000799];1627 S 15TH PL
81;102210024;08/09/2010;04:00 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01903648845882, -87.920451];721 W SCOTT ST
82;102200131;08/08/2010;04:30 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.996410947544575, -87.9286705226497];2655 S 13TH ST
83;102200148;08/08/2010;06:35 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02117447157924, -87.9232725];920 W MINERAL ST
84;102190115;08/07/2010;04:47 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99799592200935, -87.92735007372015];2553 S 12TH ST
85;102180036;08/06/2010;05:11 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0110084884588, -87.9169407485429];501 W MAPLE ST
86;102170045;08/05/2010;08:54 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01524315678177, -87.91837561928355];1536 S 6TH ST
87;102400027;08/28/2010;03:31 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98782516763808, -87.94574959925535];3125 S 25TH ST
88;102390072;08/27/2010;07:35 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.96164052986307, -87.92048249999999];632 W ARMOUR AV
89;102370074;08/25/2010;02:28 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.936110800998335, -87.94910250952196];6000 S 27TH ST
90;102360189;08/24/2010;09:21 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98113952120739, -87.93840183527612];1935 W MORGAN AV
91;102340146;08/22/2010;09:37 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97342541909515, -87.938938092042];3909 S 20TH ST
92;102320071;08/20/2010;10:24 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.95910947561956, -87.918471];545 W LAYTON AV
93;102250041;08/13/2010;05:09 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0029604773503, -87.93642119608748];1833 W LINCOLN AV #LWR
94;102240142;08/12/2010;07:13 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.94491006270099, -87.929502062701];1300 W GRANGE AV
95;102220026;08/10/2010;04:19 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9636602514571, -87.902159592042];4437 S QUINCY AV
96;102220042;08/10/2010;09:05 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98835152842075, -87.93685319608748];1825 W OKLAHOMA AV
97;102200169;08/08/2010;09:33 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97957901641727, -87.9469042511973];2536 W WARNIMONT AV
98;102140176;08/02/2010;05:13 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9752732894858, -87.94823542123089];3804 S 27TH ST
99;102130063;08/01/2010;09:35 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.966239705309505, -87.94840251321345];4320 S 27TH ST
100;102410058;08/29/2010;09:24 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.987203381903186, -87.8793135212074];3136 S PENNSYLVANIA AV
101;102410180;08/29/2010;09:22 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.991137838190326, -87.92389054818491];2933 S 9TH PL
102;102400059;08/28/2010;08:09 AM;6.0;MOTOR VEHICLE THEFT;;;;;[43.000077708580946, -87.90085758035659];2419 S WOODWARD ST
103;102360028;08/24/2010;07:24 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.997677129462076, -87.91716060788507];504 W HARRISON AV
104;102360124;08/24/2010;04:51 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.988187882359256, -87.92676103676943];1115 W OKLAHOMA AV
105;102350168;08/23/2010;06:37 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97974524812613, -87.90570113881304];3571 S WHITNALL AV
106;102280092;08/16/2010;12:56 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98622266472387, -87.92269343738836];3208 S 9TH ST
107;102210262;08/09/2010;10:29 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00584229808413, -87.91870502842076];2126 S 6TH ST #LOWER
108;102190101;08/07/2010;01:09 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99225267773695, -87.88794805995725];2889 S KINNICKINNIC AV
109;102160167;08/04/2010;07:11 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.973759486005974, -87.886872];1802 E HOWARD AV
110;102150182;08/03/2010;06:51 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.006811489324186, -87.90439041618096];396 E BECHER ST
