;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;103340050;11/30/2010;10:11 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14123447157924, -87.95547972300767];3432 W GREEN TREE RD
1;103330075;11/29/2010;12:29 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14269243167027, -87.95673217897118];6864 N DARIEN ST
2;103310054;11/27/2010;11:54 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111107586733226, -87.95157013200395];5163 N 31ST ST
3;103280154;11/24/2010;09:32 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.094825077442394, -87.92583043626318];4240 N GREEN BAY AV
4;103270046;11/23/2010;10:04 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111995274719554, -87.96012927471955];3800 W VILLARD AV
5;103260018;11/22/2010;01:26 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09213488481737, -87.94687239353127];4120 N 27TH ST
6;103260064;11/22/2010;11:41 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10474646047076, -87.97689275575625];5110 W HAMPTON AV
7;103260086;11/22/2010;01:39 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.100315528449414, -87.93823812479059];4565 N 21ST ST
8;103260176;11/22/2010;08:59 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10505894754459, -87.9441591503258];4825 N 25TH ST
9;103250131;11/21/2010;07:30 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10447646047076, -87.9372405];2000 W HAMPTON AV
10;103250172;11/21/2010;11:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10529021241049, -87.93921073740357];4852 N 22ND ST
11;103230067;11/19/2010;11:38 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10296169499096, -87.94578005323483];4730 N TEUTONIA AV
12;103220010;11/18/2010;01:32 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10447646047076, -87.93784308090484];2030 W HAMPTON AV
13;103210075;11/17/2010;01:58 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.10032284877921, -87.93809576741303];2040 W CORNELL ST
14;103200098;11/16/2010;03:14 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.14552709686078, -87.96570166532945];7027 N 43RD ST
15;103180174;11/14/2010;10:22 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.096257199001684, -87.930568569825];4365 N 16TH ST
16;103180180;11/14/2010;11:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1087940313636, -87.942799092042];5019 N 24TH PL
17;103170018;11/13/2010;02:27 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.097194729384334, -87.92746929006272];4401 N GREEN BAY AV
18;103170054;11/13/2010;07:39 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08963448600596, -87.93465347155058];1902 W CAPITOL DR
19;103160084;11/12/2010;02:34 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10480179115648, -87.9528234555228];4810 N 32ND ST
20;103160128;11/12/2010;06:47 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.0924142200935, -87.943404407958];4142 N 24TH PL
21;103170002;11/12/2010;11:45 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09534608243404, -87.94457758814687];4305 N 25TH ST
22;103140026;11/10/2010;06:05 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.107292486005974, -87.94973208090484];2918 W CAMERON AV
23;103140168;11/10/2010;08:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11118916945255, -87.93903403728935];5160 N 22ND ST
24;103120072;11/08/2010;09:17 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11397741326678, -87.9575533607827];5304 N 36TH ST
25;103110152;11/07/2010;09:45 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11902243290927, -87.95528544014701];3415 W SILVER SPRING DR
26;103090010;11/05/2010;01:36 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11397741326678, -87.9575533607827];5304 N 36TH ST
27;103090044;11/05/2010;10:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.147728870349326, -87.96430136399694];7155 N 42ND ST
28;103050099;11/01/2010;01:12 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09813599814309, -87.94805873593181];2800 W ATKINSON AV
29;103340142;11/30/2010;06:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.089878495672174, -87.99909316763807];6927 W CAPITOL DR
30;103340153;11/30/2010;07:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.068555136274455, -87.97742386799605];2722 N 51ST ST
31;103330217;11/29/2010;11:33 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06991341326679, -87.97739236799605];2802 N 51ST ST
32;103300035;11/26/2010;05:40 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04599597305114, -87.98195624672523];5425 W MARTIN DR
33;103300076;11/26/2010;11:39 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08502385789717, -88.00717540074464];3722 N 76TH ST #9
34;103300168;11/26/2010;08:50 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.062354, -87.9819605809335];2377 N 55TH ST
35;103280015;11/24/2010;04:06 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07395441326679, -87.98302387910455];3020 N 56TH ST
36;103280028;11/24/2010;09:14 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08872258832216, -88.00331775160824];7311 W APPLETON AV
37;103280091;11/24/2010;03:41 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.038911973541886, -87.97003879189012];4500 W WISCONSIN AV
38;103250141;11/21/2010;07:52 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07323558673323, -87.98091110646872];2971 N 54TH ST
39;103240091;11/20/2010;01:17 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.065393850726934, -87.97861631517092];2560 N 52ND ST
40;103220044;11/18/2010;10:05 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0754025004327, -88.00338264210284];7240 W BURLEIGH ST
41;103170186;11/13/2010;11:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.076690612268465, -87.97485860646873];3167 N 49TH ST
42;103140132;11/10/2010;04:50 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0754025004327, -88.00338264210284];7240 W BURLEIGH ST #3
