;Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location;Address
0;123050120;10/31/2012;05:17 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110142742714515, -87.95152336078269];5114 N 31ST ST
1;123040069;10/30/2012;12:35 PM;4.0;MOTOR VEHICLE THEFT;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.11859441326678, -87.95986488963614];5558 N 38TH ST
2;123030088;10/29/2012;02:32 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09061352037067, -87.93744060355453];2027 W ATKINSON AV
3;123020070;10/28/2012;12:21 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10661902540011, -87.94777182219929];4917 N TEUTONIA AV
4;123020089;10/28/2012;02:02 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09467907975007, -87.92575041101829];4300 N GREEN BAY AV
5;123000048;10/26/2012;10:23 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.09919710796927, -87.94919863200396];4505 N 29TH ST
6;122990001;10/25/2012;12:18 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10629258673322, -87.96272113200395];4877 N 40TH ST
7;122990046;10/25/2012;11:11 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.106947994171634, -87.95772436078269];4920 N 36TH ST
8;122990094;10/25/2012;04:56 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.089812335685174, -87.94036816404257];2232 W CAPITOL DR
9;122950048;10/21/2012;08:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11894641909515, -87.96348762479059];5569 N 41ST ST
10;122940168;10/20/2012;09:05 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10816433527614, -87.9714291503258];4977 N 47TH ST
11;122930103;10/19/2012;02:39 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10653350043269, -87.97668316763806];5106 W STARK ST
12;122920074;10/18/2012;01:28 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11573383819032, -87.9587991025736];5407 N 37TH ST
13;122920121;10/18/2012;06:09 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08976746715922, -87.93831990164664];2100 W CAPITOL DR
14;122920159;10/18/2012;10:09 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.130493054670644, -87.95239404123113];6217 N TEUTONIA AV
15;122920164;10/18/2012;11:48 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12786432944776, -87.95727639353127];6054 N 36TH ST
16;122910132;10/17/2012;05:23 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.08973945715252, -87.93964110410279];2200 W CAPITOL DR
17;122900013;10/16/2012;02:42 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.090431652877115, -87.93917835376055];4030 N TEUTONIA AV
18;122900028;10/16/2012;09:23 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12791011518263, -87.96096762479058];6055 N 39TH ST
19;122890132;10/15/2012;07:17 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111995274719554, -87.96012927471955];3800 W VILLARD AV
20;122880107;10/14/2012;04:38 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11528303136362, -87.95880957372015];5363 N 37TH ST
21;122870088;10/13/2012;01:52 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.111877481245465, -87.95850202553522];3621 W VILLARD AV
22;122860022;10/12/2012;03:45 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11485551211812, -87.94821133236194];2800 W CUSTER AV
23;122860027;10/12/2012;07:52 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11476924562871, -87.9599529190665];5344 N 38TH ST
24;122850018;10/11/2012;08:28 AM;5.0;MOTOR VEHICLE THEFT;;;;;[43.091765779906524, -87.9369816503258];4109 N 20TH ST
25;122840024;10/10/2012;09:27 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.111926511541185, -87.95722008090483];3520 W VILLARD AV
26;122830011;10/09/2012;03:42 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.114786994171624, -87.95630636410091];5350 N 35TH ST
27;122830076;10/09/2012;03:01 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.110058191499846, -87.9638045629001];5101 N 41ST ST
28;122810071;10/07/2012;04:14 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.1057085925616, -87.96509953707641];4847 N 42ND ST
29;122810102;10/07/2012;08:02 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11186050432783, -87.9517932485429];3100 W VILLARD AV
30;122820004;10/07/2012;09:46 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10931278351319, -87.96218424926404];5065 N HOPKINS ST
31;122800011;10/06/2012;01:40 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11066658673323, -87.97511112479059];5121 N 50TH ST
32;122760116;10/02/2012;06:06 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11087251543635, -87.96714308381902];4320 W EGGERT PL
33;123050146;10/31/2012;07:56 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03723148124546, -87.95992469608748];3701 W MICHIGAN ST
34;123040083;10/30/2012;02:36 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08910225145709, -88.00066865753918];3965 N 71ST ST
35;123030080;10/29/2012;01:07 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06800654674262, -87.98551127699231];5801 W CENTER ST
36;122980063;10/24/2012;12:59 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03265070097002, -87.98605079092832];165 N 59TH ST
37;122980105;10/24/2012;03:55 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.03200431412323, -87.99740996567049];115 N 68TH ST #14
38;122940151;10/20/2012;08:54 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.033059335276135, -87.9601985809335];215 N 37TH ST
39;122940159;10/20/2012;07:19 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.034175136274456, -87.96131395181507];318 N 38TH ST
40;122940165;10/20/2012;08:36 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.054604329447756, -87.980915930175];1816 N 54TH ST
41;122930170;10/19/2012;08:48 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07043257259495, -87.9917568224942];6330 W LISBON AV #REAR
42;122930183;10/19/2012;09:50 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05086936081136, -87.97882009925536];1527 N 52ND ST
43;122910104;10/17/2012;03:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.069600248658475, -87.99029686055155];6211 W LISBON AV
44;122910107;10/17/2012;01:13 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0440132129088, -87.98166602873788];5424 W STATE ST
45;122910146;10/17/2012;04:03 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0440132129088, -87.98166602873788];5424 W STATE ST
46;122910160;10/17/2012;08:17 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.055424000000016, -87.97357759925535];1907 N 48TH ST
47;122890104;10/15/2012;03:06 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06800654674262, -87.98551127699231];5801 W CENTER ST
48;122880145;10/14/2012;08:07 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07248067638065, -87.98317956261164];2935 N 56TH ST
49;122870012;10/13/2012;12:02 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.063344, -87.97992861368208];2439 N 53RD ST
50;122870028;10/13/2012;06:26 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06970330301024, -87.98012084103549];5325 W HADLEY ST
51;122870047;10/13/2012;10:24 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.0893927749378, -87.99947459749859];3977 N 70TH ST
52;122840064;10/10/2012;01:55 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0321755004327, -88.00685983236194];7520 W STEVENSON ST
53;122790039;10/05/2012;07:34 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.054659000000015, -87.97466538963614];1826 N 49TH ST
54;122780030;10/04/2012;09:33 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06972336278467, -87.98269253142497];5551 W HADLEY ST
55;122780127;10/04/2012;06:48 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.08582261697166, -87.99929629949779];7001 W BECKETT AV
56;122770015;10/03/2012;05:10 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.06809246768411, -87.994314];6520 W CENTER ST
57;122770090;10/03/2012;01:27 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05222941909517, -87.98304635746447];1626 N 56TH ST
58;122760036;10/02/2012;10:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0462625029142, -87.96820957703837];1211 N 43RD ST
59;122750048;10/01/2012;10:52 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04589580917459, -87.97145119082542];4601 W JUNEAU AV
60;122750096;10/01/2012;04:24 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.051838326479256, -87.98000526973834];1621 N 53RD ST
61;123040076;10/30/2012;02:03 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.9754078985374, -88.01323839426557];8037 W CRAWFORD AV
62;123030145;10/29/2012;07:55 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98489091248832, -87.94843751889785];3355 S 27TH ST
63;123020026;10/28/2012;04:34 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00047000000001, -87.95788495181507];2432 S 35TH ST
64;123000171;10/26/2012;09:00 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97406550874257, -88.00813002986304];3865 S 76TH ST
65;122940164;10/20/2012;09:34 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.970269532315896, -88.00910002553522];7607 W WATERFORD AV
66;122790085;10/05/2012;11:42 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.986187670552255, -87.97415801543632];3215 S 48TH ST #1
67;122770038;10/03/2012;10:00 AM;2.0;MOTOR VEHICLE THEFT;;;;;[42.9993575323159, -87.95636958090483];3327 W ARTHUR AV
68;122770078;10/03/2012;02:16 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98292524614868, -87.94495779526454];2429 W HOLT AV
69;123050031;10/31/2012;06:59 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.011048470136934, -87.91325023022104];215 W MAPLE ST
70;123050109;10/31/2012;03:53 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015797115182636, -87.92261854097156];1505 S 9TH ST
71;123050121;10/31/2012;05:31 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015977525102535, -87.91220322300768];123 W ORCHARD ST
72;123040020;10/30/2012;06:46 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02013447489747, -87.924402];1010 W WASHINGTON ST
73;123030066;10/29/2012;12:38 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0110455115412, -87.91940347446477];622 W MAPLE ST
74;123030158;10/29/2012;07:28 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01798400000001, -87.93313058425171];1247 S CESAR E CHAVEZ DR
75;123030161;10/29/2012;09:44 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
76;123020107;10/28/2012;03:44 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.010258238741834, -87.92163590910316];819 W WINDLAKE AV
77;123010081;10/27/2012;12:37 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02156600000001, -87.91261289742641];920 S 2ND ST
78;123000031;10/26/2012;07:57 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01505900000001, -87.91262756650677];1545 S 2ND ST
79;122980103;10/24/2012;04:38 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.001046670552256, -87.92609007372015];2405 S 11TH ST
80;122960091;10/22/2012;02:37 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99928267055225, -87.91890158425171];2497 S 6TH ST
81;122960129;10/22/2012;07:02 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.017010535634135, -87.92153083236194];809 W GREENFIELD AV
82;122910138;10/17/2012;05:39 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.005855657770304, -87.92675069259637];1157 W WINDLAKE AV
83;122910188;10/17/2012;10:44 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.019666832361935, -87.93941342627986];1120 S 21ST ST
84;122900026;10/16/2012;09:04 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.005429031363605, -87.93332758814687];2149 S 16TH ST
85;122890119;10/15/2012;05:52 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01913366769236, -87.9240386393565];1000 W SCOTT ST
86;122880040;10/14/2012;10:16 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.006923754371286, -87.9200505337582];2061 S 7TH ST
87;122870065;10/13/2012;12:05 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.020074474032086, -87.92592316763806];1117 W WASHINGTON ST
88;122870145;10/13/2012;08:36 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01221506329495, -87.92990633372123];1429 W MITCHELL ST
89;122860070;10/12/2012;01:44 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.023301666095634, -87.91132060201502];100 W NATIONAL AV
90;122840119;10/10/2012;07:57 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015202633360275, -87.93065545181508];1534 S 15TH ST
91;122830037;10/09/2012;10:16 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00869645045876, -87.92426800822297];1969 S 10TH ST
92;122830056;10/09/2012;01:03 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.016010504327845, -87.93929283527612];2038 W ORCHARD ST
93;122830089;10/09/2012;04:05 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02010950764605, -87.91973086940969];700 W WASHINGTON ST
94;122820009;10/08/2012;03:58 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00790445045877, -87.92969104818492];2013 S 14TH ST
95;122820063;10/08/2012;01:01 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02222587865399, -87.91737567128641];534 W WALKER ST
96;122790009;10/05/2012;01:44 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01232245325738, -87.92964114210284];1400 W MITCHELL ST
97;122790014;10/05/2012;02:00 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.02533234439239, -87.91172015702026];138 W BRUCE ST
98;122790112;10/05/2012;04:22 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.0186955029142, -87.93810003375819];1215 S 20TH ST
99;122790120;10/05/2012;04:15 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01413484948038, -87.93110372491338];1515 W LAPHAM BL
100;122770026;10/03/2012;08:52 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01386032361938, -87.92541500620375];1606 S 11TH ST
101;122770049;10/03/2012;08:43 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.015934847197876, -87.92824090279319];1319 W ORCHARD ST
102;122760020;10/02/2012;06:44 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.020719664723885, -87.92669640463977];1016 S 12TH ST
103;122760042;10/02/2012;10:55 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.012316501009614, -87.92026297446478];710 W HISTORIC MITCHELL ST
104;122750024;10/01/2012;08:24 AM;2.0;MOTOR VEHICLE THEFT;;;;;[43.01452067638064, -87.92407098268774];1569 S 10TH ST
105;122750120;10/01/2012;06:36 PM;2.0;MOTOR VEHICLE THEFT;;;;;[42.99863467055226, -87.93252756261164];2525 S 15TH PL
106;123030152;10/29/2012;08:38 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97686533399597, -87.94817994740104];3734 S 27TH ST
107;122990147;10/25/2012;08:18 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.934817495672185, -87.9474900631599];2531 W BRIDGE ST
108;122880013;10/14/2012;01:51 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.94161892480798, -87.95372301067582];3014 W PARNELL AV
109;122870023;10/13/2012;03:52 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98742841326677, -87.93603241185313];3138 S 18TH ST
110;122850119;10/11/2012;11:54 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98562657951987, -87.93384059608044];3237 S 16TH ST
111;122820013;10/08/2012;07:07 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.970222666930965, -87.92504103689629];970 W WATERFORD AV
112;122780021;10/04/2012;06:29 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97957901641727, -87.9469042511973];2536 W WARNIMONT AV
113;122780022;10/04/2012;06:50 AM;6.0;MOTOR VEHICLE THEFT;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[42.9792006233483, -87.93961679364074];2025 W WARNIMONT AV #2
114;122780026;10/04/2012;08:07 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97484250678067, -87.94219066763806];2131 W TRIPOLI AV
115;122780036;10/04/2012;09:50 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.972984266087686, -87.9403594835633];2061 W VAN BECK AV
116;122780038;10/04/2012;09:57 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97957901641727, -87.9469042511973];2536 W WARNIMONT AV
117;122780057;10/04/2012;11:47 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.97455226389097, -87.94004191429475];3850 S 20TH PL
118;123050012;10/31/2012;04:21 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98181302407337, -87.91841160300025];500 W HOLT AV
119;123050021;10/31/2012;07:26 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.99523410120663, -87.8909996069358];2624 S FULTON ST
120;123050094;10/31/2012;02:29 PM;6.0;MOTOR VEHICLE THEFT;;;;;[43.002919521207396, -87.8993409970858];751 E LINCOLN AV
121;122930155;10/19/2012;08:35 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.988330486005964, -87.89543080099833];1100 E OKLAHOMA AV
122;122900045;10/16/2012;11:39 AM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98965729251556, -87.87831367459161];3009 S WENTWORTH AV
123;122860101;10/12/2012;05:11 PM;6.0;MOTOR VEHICLE THEFT;;;;;[42.98431558673323, -87.92645907372014];3313 S 11TH ST
124;122750137;10/01/2012;08:30 PM;2.0;MOTOR VEHICLE THEFT;;;;;[43.00072171107929, -87.91692642983502];2436 S 5TH ST
125;123050041;10/31/2012;09:59 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07121900000001, -87.95979113532216];2875 N 37TH ST
126;123030136;10/29/2012;07:23 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06396558673322, -87.94004809925535];2473 N 22ND ST
127;123020058;10/28/2012;10:41 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06542300000001, -87.97001857703836];2557 N 45TH ST
128;123020103;10/28/2012;03:31 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06168774854291, -87.9737229190665];2346 N 48TH ST
129;123000023;10/26/2012;05:50 AM;3.0;MOTOR VEHICLE THEFT;STOLEN PROPERTY OFFENSES;;;;[43.05144246768411, -87.94226389355993];2322 W GALENA ST
130;123000141;10/26/2012;06:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07011166472387, -87.95852438631792];2816 N 36TH ST
131;122990005;10/25/2012;02:56 AM;5.0;MOTOR VEHICLE THEFT;ALL OTHER OFFENSES;;;;[43.0687344657222, -87.9367959190665];2740 N 19TH ST
132;122970003;10/23/2012;12:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06724983236194, -87.96331541517137];2656 N 40TH ST
133;122970018;10/23/2012;03:59 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06065651875455, -87.95805299999999];3512 W NORTH AV
134;122970056;10/23/2012;11:23 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05414035111648, -87.95280917998731];3100 W LISBON AV
135;122960013;10/22/2012;06:14 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.060542875567656, -87.96640109979023];4221 W NORTH AV
136;122960027;10/22/2012;09:02 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06261530391254, -87.97496238963613];2406 N 49TH ST
137;122960061;10/22/2012;11:58 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.064972245628724, -87.95978438631792];2530 N 37TH ST
138;122950110;10/21/2012;04:26 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06154369608748, -87.92411764311245];2353 N 10TH ST
139;122940040;10/20/2012;06:48 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.064729863725546, -87.97626057372014];2517 N 50TH ST #ALLEY
140;122940087;10/20/2012;12:47 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.059869748542894, -87.97001236799605];2224 N 45TH ST
141;122920015;10/18/2012;02:08 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07139799417163, -87.96439290463978];2878 N 41ST ST
142;122910068;10/17/2012;12:32 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06542300000001, -87.97001857703836];2557 N 45TH ST
143;122910094;10/17/2012;02:30 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05554949708582, -87.93511343738835];1932 N 18TH ST
144;122910151;10/17/2012;06:46 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.054953540993274, -87.93647539977272];1907 N 19TH ST
145;122900100;10/16/2012;04:26 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.069804647989095, -87.94911993869388];2840 W ELDER WALLACE DR
146;122890039;10/15/2012;09:18 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.064973335276136, -87.96341160257359];2537 N 40TH ST
147;122890111;10/15/2012;05:03 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05751820539233, -87.9635627053923];4000 W LLOYD ST
148;122880044;10/14/2012;10:20 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.055928136274474, -87.95632494460172];1934 N 34TH ST
149;122880118;10/14/2012;05:28 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07139799417163, -87.96439290463978];2878 N 41ST ST
150;122880152;10/14/2012;05:15 PM;3.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.052849488458804, -87.95670258090485];3405 W WALNUT ST
151;122870043;10/13/2012;09:14 AM;3.0;MOTOR VEHICLE THEFT;THEFT FROM MOTOR VEHICLE;;;;[43.055982670552254, -87.95999960646873];1947 N 37TH ST
152;122870126;10/13/2012;05:26 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.064424586733224, -87.97500957372014];2501 N 49TH ST
153;122870134;10/13/2012;07:14 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.062911664723885, -87.97370386078269];2418 N 48TH ST
154;122870163;10/13/2012;10:40 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06549558673322, -87.97499059925535];2555 N 49TH ST
155;122860044;10/12/2012;10:24 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06301966472387, -87.93624391185313];2430 N 19TH ST
156;122860121;10/12/2012;07:29 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.051490488458825, -87.95988];3705 W GALENA ST
157;122830034;10/09/2012;09:20 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06636783236195, -87.96332335688754];2614 N 40TH ST
158;122820046;10/08/2012;12:44 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05536077990652, -87.94758756982499];1923 N 27TH ST
159;122820051;10/08/2012;01:31 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05300392921235, -87.9269917599985];1722 N 12TH ST
160;122810029;10/07/2012;08:53 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06613416763807, -87.9325811281088];2601 N 16TH ST
161;122800021;10/06/2012;03:44 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05761147155059, -87.95629338242277];2056 N 34TH ST
162;122800037;10/06/2012;09:27 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.062119580904834, -87.9749638607827];2366 N 49TH ST
163;122800073;10/06/2012;01:34 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06070420944148, -87.96351320944147];4000 W NORTH AV
164;122800094;10/06/2012;04:01 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.061103167638066, -87.96889063200395];2319 N 44TH ST
165;122810002;10/06/2012;05:24 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.06505433527613, -87.97116488631792];2534 N 46TH ST
166;122790067;10/05/2012;11:28 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.057142863725545, -87.94267062479058];2035 N 24TH ST
167;122800012;10/05/2012;09:19 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05910749567219, -87.9423705];2337 W GARFIELD AV
168;122780020;10/04/2012;08:13 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.07128183236193, -87.96098158093349];2873 N 38TH ST
169;122780044;10/04/2012;09:52 AM;3.0;MOTOR VEHICLE THEFT;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;[43.052355000000006, -87.95530813921731];1639 N 33RD ST
170;122780052;10/04/2012;10:58 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.05967124562872, -87.95868294460172];2218 N 36TH ST
171;122760030;10/02/2012;09:29 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.04868070415756, -87.96147562170269];3811 W VLIET ST
172;122760062;10/02/2012;11:40 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.047269276992324, -87.96115911368207];1301 N 38TH ST
173;122760077;10/02/2012;03:46 PM;5.0;MOTOR VEHICLE THEFT;;;;;[43.06791876400895, -87.9411155716011];2700 N 23RD ST
174;122760125;10/02/2012;04:49 PM;3.0;MOTOR VEHICLE THEFT;;;;;[43.049798276992334, -87.95960810646872];1447 N 37TH ST #LWR
175;122750009;10/01/2012;01:08 AM;3.0;MOTOR VEHICLE THEFT;;;;;[43.0501265323159, -87.9630527514571];3935 W CHERRY ST
176;123030051;10/29/2012;11:30 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.109541387731554, -87.98865489353128];5050 N 62ND ST
177;123020002;10/28/2012;12:12 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11353649708582, -87.98489289353127];5270 N 58TH ST
178;123000177;10/26/2012;08:34 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10362272857627, -87.99020488868383];6220 W SPENCER PL
179;122970061;10/23/2012;01:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.11167562392521, -88.01585099047803];5155 N 84TH ST
180;122960058;10/22/2012;09:45 AM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10749063090743, -88.01910067603485];8584 W APPLETON AV #K
181;122960162;10/22/2012;11:04 PM;7.0;MOTOR VEHICLE THEFT;;;;;[43.10510101278194, -87.99724266859035];6826 W MEDFORD AV
182;122950020;10/21/2012;01:06 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.132830550349304, -88.01777924585986];6328 N 86TH CT
183;122950037;10/21/2012;05:05 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.13233956792274, -88.01565720847853];6305 N 84TH ST
184;122950047;10/21/2012;08:48 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.12088974854291, -87.99596337131426];5666 N 68TH ST
185;122950056;10/21/2012;09:03 AM;4.0;MOTOR VEHICLE THEFT;;;;;[43.132331460470745, -88.012134];8110 W BENDER AV #1
186;122950111;10/21/2012;04:31 PM;4.0;MOTOR VEHICLE THEFT;;;;;[43.11963246047075, -88.00138333236194];7206 W SILVER SPRING DR
