Incident Number;Date;Time;Police District;Offense 1;Offense 2;Offense 3;Offense 4;Offense 5;Location
121520017;05/31/2012;01:32 AM;5.0;SIMPLE ASSAULT;;;;;4135 N 20TH ST
121520019;05/31/2012;02:35 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1680 W COURTLAND AV
121520021;05/31/2012;02:50 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5170 N 31ST ST
121520033;05/31/2012;07:49 AM;4.0;SIMPLE ASSAULT;;;;;5329 N 27TH ST
121520042;05/31/2012;06:02 AM;4.0;ALL OTHER LARCENY;;;;;5313 N 25TH ST
121520043;05/31/2012;08:50 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4924 N 51ST BL
121520044;05/31/2012;08:38 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4145 N GREEN BAY AV
121520076;05/31/2012;01:00 PM;4.0;MOTOR VEHICLE THEFT;;;;;5238 N 36TH ST
121520077;05/31/2012;12:33 PM;7.0;ALL OTHER LARCENY;SIMPLE ASSAULT;;;;4522 W HAMPTON AV #206
121520079;05/31/2012;12:27 PM;7.0;INTIMIDATION;;;;;4862 N 42ND ST
121520085;05/31/2012;01:21 PM;4.0;SIMPLE ASSAULT;;;;;2121 W NEIL PL
121520109;05/31/2012;04:26 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3432 W GREEN TREE RD
121520110;05/31/2012;03:18 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4220 N 15TH ST
121520113;05/31/2012;05:30 PM;5.0;INTIMIDATION;;;;;4472 N 26TH ST
121520119;05/31/2012;05:35 PM;7.0;MOTOR VEHICLE THEFT;;;;;4861 N 46TH ST
121520121;05/31/2012;05:41 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3707 W GOOD HOPE RD
121520129;05/31/2012;04:16 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2000 W HAMPTON AV #1
121510070;05/30/2012;12:47 PM;5.0;ALL OTHER LARCENY;;;;;4722 N 29TH ST
121510072;05/30/2012;12:56 PM;4.0;ALL OTHER LARCENY;;;;;5967 N 38TH ST
121510155;05/30/2012;04:19 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4935 N 19TH PL
121510159;05/30/2012;08:34 PM;5.0;SHOPLIFTING;;;;;2222 W CAPITOL DR
121510172;05/30/2012;10:26 PM;4.0;AGGRAVATED ASSAULT;;;;;5329 N TEUTONIA AV
121500023;05/29/2012;03:44 AM;4.0;SIMPLE ASSAULT;;;;;5552 N 34TH ST
121500035;05/29/2012;07:27 AM;4.0;ALL OTHER LARCENY;;;;;5313 N 25TH ST
121500042;05/29/2012;08:37 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4879 N 24TH ST
121500047;05/29/2012;08:21 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4121 N 26TH ST
121500057;05/29/2012;09:54 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4215 N 24TH PL
121500062;05/29/2012;09:17 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5704 N 42ND ST
121500078;05/29/2012;11:51 AM;4.0;ALL OTHER LARCENY;;;;;6001 N TEUTONIA AV
121500099;05/29/2012;04:30 PM;5.0;AGGRAVATED ASSAULT;;;;;4550 N TEUTONIA AV
121500105;05/29/2012;01:26 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4063 N 16TH ST
121500108;05/29/2012;01:28 PM;4.0;SIMPLE ASSAULT;;;;;5525 N TEUTONIA AV
121500129;05/29/2012;03:39 PM;7.0;AGGRAVATED ASSAULT;;;;;4956 N 49TH ST
121500141;05/29/2012;04:07 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6086 N 38TH ST
121500182;05/29/2012;06:39 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5554 N 40TH ST
121500211;05/29/2012;09:22 PM;4.0;INTIMIDATION;;;;;3112 W SILVER SPRING DR
121500218;05/29/2012;10:09 PM;4.0;SIMPLE ASSAULT;;;;;3001 W SILVER SPRING DR
121490019;05/28/2012;12:49 AM;7.0;ROBBERY;;;;;4940 N 24TH PL
121490032;05/28/2012;02:32 AM;7.0;AGGRAVATED ASSAULT;;;;;2800 W FAIRMOUNT AV
121490033;05/28/2012;03:45 AM;7.0;MOTOR VEHICLE THEFT;;;;;5018 N 25TH ST
121490044;05/28/2012;06:26 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;6120 N 36TH ST
121490077;05/28/2012;11:52 AM;5.0;ROBBERY;;;;;4377 N TEUTONIA AV
121490097;05/28/2012;01:56 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1512 W CONGRESS ST
121490099;05/28/2012;02:48 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4459 N 21ST ST
121490137;05/28/2012;07:02 PM;7.0;AGGRAVATED ASSAULT;;;;;5103 N 31ST ST
121490145;05/28/2012;07:19 PM;5.0;ALL OTHER LARCENY;;;;;4172 N 14TH ST
121480024;05/27/2012;12:24 AM;5.0;ROBBERY;;;;;2433 W ROOSEVELT DR
121480047;05/27/2012;04:15 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4057 N GREEN BAY AV
121480065;05/27/2012;09:12 AM;7.0;MOTOR VEHICLE THEFT;;;;;4675 N 20TH ST
121480066;05/27/2012;07:01 AM;5.0;ARSON;;;;;4277 N TEUTONIA AV
121480084;05/27/2012;09:08 AM;5.0;AGGRAVATED ASSAULT;;;;;4608 N 31ST ST
121480104;05/27/2012;12:03 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5039 N 19TH PL
121480116;05/27/2012;12:56 PM;7.0;ALL OTHER LARCENY;;;;;2200 W FAIRMOUNT AV
121480131;05/27/2012;04:42 PM;7.0;MOTOR VEHICLE THEFT;;;;;2300 W FAIRMOUNT AV
121480133;05/27/2012;04:08 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;3300 W CAMERON AV
121480137;05/27/2012;06:10 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5044 N 49TH ST
121480150;05/27/2012;07:28 PM;4.0;SIMPLE ASSAULT;;;;;5431 N 41ST ST
121480168;05/27/2012;10:14 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5113 N 19TH PL
121480171;05/27/2012;10:25 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5045 N HOPKINS ST
121470021;05/26/2012;01:16 AM;4.0;ROBBERY;BURGLARY/BREAKING AND ENTERING;;;;5773 N 32ND ST
121470046;05/26/2012;06:17 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4847 N 41ST ST
121470055;05/26/2012;08:01 AM;4.0;ARSON;;;;;5333 N 38TH ST
121470060;05/26/2012;10:10 AM;7.0;MOTOR VEHICLE THEFT;;;;;4875 N 42ND ST
121470062;05/26/2012;10:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;4875 N 42ND ST
121470063;05/26/2012;08:15 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4334 N 21ST ST
121470069;05/26/2012;10:59 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4243 N 24TH PL
121470095;05/26/2012;01:05 PM;4.0;MOTOR VEHICLE THEFT;;;;;5309 N 29TH ST
121470103;05/26/2012;02:02 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4356 N 14TH ST
121470104;05/26/2012;02:01 PM;4.0;INTIMIDATION;;;;;5748 N 35TH ST
121470149;05/26/2012;07:17 PM;5.0;AGGRAVATED ASSAULT;;;;;1978 W CONGRESS ST
121470171;05/26/2012;08:29 PM;5.0;MOTOR VEHICLE THEFT;;;;;4452 N 22ND ST
121470189;05/26/2012;10:50 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2200 W CAPITOL DR
121460067;05/25/2012;09:30 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;1961 W PURDUE ST
121460091;05/25/2012;12:43 PM;7.0;MOTOR VEHICLE THEFT;;;;;4750 N 24TH ST
121460099;05/25/2012;11:17 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4903 N 19TH PL
121460120;05/25/2012;03:04 PM;7.0;THEFT FROM MOTOR VEHICLE;;;;;5023 N 20TH ST
121460125;05/25/2012;03:16 PM;7.0;ALL OTHER LARCENY;;;;;5023 N 20TH ST
121460142;05/25/2012;02:15 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5168 N 35TH ST #9
121460148;05/25/2012;05:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4848 N 21ST ST
121460188;05/25/2012;07:53 PM;7.0;AGGRAVATED ASSAULT;;;;;5127 W FAIRMOUNT AV
121460192;05/25/2012;08:01 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5034 N 23RD ST
121460196;05/25/2012;08:30 PM;4.0;SIMPLE ASSAULT;;;;;3001 W SILVER SPRING DR
121450029;05/24/2012;05:29 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5060 N 24TH PL
121450046;05/24/2012;09:38 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4338 N 17TH ST
121450076;05/24/2012;10:55 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4854 N 50TH ST #LWR
121450133;05/24/2012;07:01 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2900 W CAPITOL DR
121450153;05/24/2012;08:05 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4862 N 44TH ST
121440025;05/23/2012;02:54 AM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;TRESPASSING;;;;5763 N TEUTONIA AV
121440029;05/23/2012;04:15 AM;5.0;INTIMIDATION;;;;;4520 N 27TH ST #8
121440038;05/23/2012;06:39 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4115 N TEUTONIA AV
121440136;05/23/2012;06:10 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7036 N 42ND ST
121440138;05/23/2012;06:16 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7036 N 42ND ST
121440139;05/23/2012;06:17 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;7038 N 42ND ST
121440141;05/23/2012;06:05 PM;5.0;AGGRAVATED ASSAULT;;;;;4557 N 28TH ST
121440184;05/23/2012;10:34 PM;4.0;AGGRAVATED ASSAULT;;;;;4221 W FLORIST AV
121440184;05/23/2012;10:34 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4221 W FLORIST AV
121450002;05/23/2012;09:57 PM;7.0;SIMPLE ASSAULT;;;;;1951 W HAMPTON AV
121430041;05/22/2012;09:41 AM;7.0;MOTOR VEHICLE THEFT;;;;;5041 N 28TH ST
121430088;05/22/2012;01:59 PM;7.0;INTIMIDATION;;;;;4950 N 24TH ST
121430096;05/22/2012;04:17 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;1270 W GLENDALE AV
121430099;05/22/2012;04:30 PM;4.0;ALL OTHER LARCENY;;;;;5410 N LONG ISLAND DR
121430147;05/22/2012;08:07 PM;5.0;AGGRAVATED ASSAULT;;;;;4476 N 29TH ST
121430151;05/22/2012;09:21 PM;4.0;SIMPLE ASSAULT;;;;;2739 W ORIOLE DR
121440001;05/22/2012;11:06 PM;7.0;AGGRAVATED ASSAULT;;;;;4884 N 18TH ST
121440003;05/22/2012;11:39 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5237 N 35TH ST #3
121460052;05/22/2012;01:20 PM;4.0;ALL OTHER LARCENY;;;;;6400 N 43 ST.
121500212;05/22/2012;06:35 PM;7.0;ALL OTHER LARCENY;;;;;5036 N 20TH ST #LWR
121420010;05/21/2012;01:34 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3300 W CAMERON AV
121420016;05/21/2012;05:40 AM;4.0;BURGLARY/BREAKING AND ENTERING;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;7835 N GREEN BAY RD
121420016;05/21/2012;05:40 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7835 N GREEN BAY RD
121420018;05/21/2012;06:22 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4360 N 14TH ST
121420027;05/21/2012;05:01 AM;4.0;AGGRAVATED ASSAULT;;;;;6001 N TEUTONIA AV
121420042;05/21/2012;09:56 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;1955 W HAMPTON AV
121420053;05/21/2012;10:18 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;1935 W SILVER SPRING DR
121420064;05/21/2012;12:02 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2200 W CORNELL ST
121420068;05/21/2012;12:42 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;3300 W CAMERON AV
121420076;05/21/2012;01:39 PM;4.0;THEFT FROM BUILDING;;;;;5363 N 37TH ST
121420090;05/21/2012;02:53 PM;4.0;ALL OTHER LARCENY;;;;;7141 N 45TH ST
121420103;05/21/2012;04:03 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3700 W GREEN TREE RD
121420107;05/21/2012;04:17 PM;7.0;ALL OTHER LARCENY;;;;;2106 W COLFAX PL
121420147;05/21/2012;07:09 PM;5.0;SIMPLE ASSAULT;;;;;4259 N 27TH ST #2
121420150;05/21/2012;06:23 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4235 W STARK ST
121420151;05/21/2012;07:43 PM;5.0;AGGRAVATED ASSAULT;;;;;4222 N 27TH ST
121410023;05/20/2012;03:58 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4923 N TEUTONIA AV #1
121410038;05/20/2012;08:29 AM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4209 W LUSCHER AV
121410041;05/20/2012;08:27 AM;5.0;AGGRAVATED ASSAULT;;;;;4057 N GREEN BAY AV
121410108;05/20/2012;03:46 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7123 N TEUTONIA AV #102
121410112;05/20/2012;05:15 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1981 W VILLARD AV
121410119;05/20/2012;03:05 PM;5.0;ROBBERY;;;;;1800 W OLIVE ST
121410121;05/20/2012;03:55 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4249 N 19TH ST #A
121410144;05/20/2012;07:06 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;4955 N 47TH ST #1
121410151;05/20/2012;08:30 PM;5.0;ALL OTHER LARCENY;;;;;4343 N 15TH ST
121410152;05/20/2012;05:45 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;5025 N HOPKINS ST
121410153;05/20/2012;08:35 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5900 N TEUTONIA AV
121410173;05/20/2012;10:52 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5022 N 30TH ST
121400035;05/19/2012;01:04 AM;7.0;AGGRAVATED ASSAULT;;;;;5017 N HOPKINS ST
121400050;05/19/2012;09:08 AM;5.0;SIMPLE ASSAULT;;;;;2605 W VICTORY LA #3
121400077;05/19/2012;12:00 PM;7.0;AGGRAVATED ASSAULT;;;;;4921 N 40TH ST
121400104;05/19/2012;04:59 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5301 N TEUTONIA AV
121400110;05/19/2012;04:33 PM;7.0;AGGRAVATED ASSAULT;;;;;4810 N TEUTONIA AV
121400127;05/19/2012;08:09 PM;4.0;SIMPLE ASSAULT;;;;;5240 N 38TH ST
121410003;05/19/2012;11:34 PM;5.0;SIMPLE ASSAULT;;;;;4140 N 13TH ST
121390043;05/18/2012;08:11 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;5752 N 39TH ST #LWR
121390061;05/18/2012;11:56 AM;7.0;ALL OTHER LARCENY;;;;;5101 N 21ST ST
121390064;05/18/2012;11:38 AM;4.0;INTIMIDATION;;;;;5357 N 37TH ST
121390067;05/18/2012;11:53 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4216 N 27TH ST
121390073;05/18/2012;01:08 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;4120 W KIEHNAU AV
121390112;05/18/2012;05:13 PM;4.0;ALL OTHER LARCENY;;;;;5230 N SHERMAN BL #ALLEY
121390141;05/18/2012;08:16 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4954 N 48TH ST
121390144;05/18/2012;08:30 PM;7.0;AGGRAVATED ASSAULT;;;;;4879 N 49TH ST
121390151;05/18/2012;09:47 PM;4.0;ROBBERY;;;;;3650 W SILVER SPRING DR
121390158;05/18/2012;10:30 PM;4.0;SIMPLE ASSAULT;;;;;5751 N 32ND ST
121390166;05/18/2012;11:35 PM;7.0;ROBBERY;;;;;2280 W HAMPTON AV
121380006;05/17/2012;12:32 AM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5466 N 40TH ST
121380013;05/17/2012;12:29 AM;4.0;ROBBERY;;;;;5525 N TEUTONIA AV #4
121380022;05/17/2012;03:57 AM;7.0;ALL OTHER LARCENY;;;;;2000 W HAMPTON AV #1
121380033;05/17/2012;08:14 AM;4.0;SIMPLE ASSAULT;;;;;6020 N 35TH ST
121380036;05/17/2012;07:21 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;2301 W ROOSEVELT DR
121380038;05/17/2012;09:09 AM;4.0;SIMPLE ASSAULT;;;;;7123 N TEUTONIA AV #102
121380069;05/17/2012;11:59 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4450 N 26TH ST
121380076;05/17/2012;12:33 PM;5.0;SIMPLE ASSAULT;;;;;2700 W CAPITOL DR
121380087;05/17/2012;01:40 PM;4.0;THEFT FROM BUILDING;;;;;6091 N TEUTONIA AV
121380094;05/17/2012;02:40 PM;7.0;INTIMIDATION;;;;;4950 N 24TH ST
121380111;05/17/2012;02:46 PM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5255 N HOPKINS ST
121380115;05/17/2012;03:05 PM;4.0;ALL OTHER LARCENY;;;;;4330 W GREEN TREE RD
121380124;05/17/2012;04:47 PM;5.0;AGGRAVATED ASSAULT;;;;;4522 N 30TH ST
121380150;05/17/2012;08:52 PM;4.0;SIMPLE ASSAULT;;;;;6014 N 41ST ST
121380174;05/17/2012;11:00 PM;5.0;INTIMIDATION;;;;;4200 N 27TH ST
121370017;05/16/2012;05:11 AM;5.0;PURSE SNATCHING;;;;;2700 W HOPE AV
121370053;05/16/2012;10:43 AM;5.0;SIMPLE ASSAULT;;;;;2019 W ROOSEVELT DR
121370078;05/16/2012;01:37 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;2900 W HAMPTON AV
121370089;05/16/2012;03:18 PM;7.0;THEFT FROM BUILDING;;;;;4050 N 34TH ST
121370096;05/16/2012;04:10 PM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;1700 W HAMPTON AV
121370129;05/16/2012;03:10 PM;5.0;SIMPLE ASSAULT;;;;;4592 N TEUTONIA AV
121370141;05/16/2012;06:45 PM;5.0;MOTOR VEHICLE THEFT;;;;;4447 N 29TH ST
121370144;05/16/2012;08:00 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5758 N 40TH ST
121360009;05/15/2012;12:40 AM;5.0;ROBBERY;;;;;2100 W ATKINSON AV
121360026;05/15/2012;02:16 AM;4.0;AGGRAVATED ASSAULT;;;;;5303 N 28TH ST
121360040;05/15/2012;08:47 AM;4.0;MOTOR VEHICLE THEFT;;;;;5300 N 34TH ST
121360041;05/15/2012;07:55 AM;7.0;INTIMIDATION;;;;;4950 N 24TH ST
121360045;05/15/2012;08:47 AM;4.0;THEFT FROM MOTOR VEHICLE;;;;;5962 N SHERMAN BL
121360049;05/15/2012;09:31 AM;4.0;ALL OTHER LARCENY;;;;;6001 N TEUTONIA AV
121360059;05/15/2012;09:35 AM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4672 N 19TH ST
121360085;05/15/2012;01:34 PM;5.0;THEFT FROM BUILDING;;;;;4630 N 29TH ST
121360107;05/15/2012;03:28 PM;7.0;AGGRAVATED ASSAULT;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;4105 W VILLARD AV
121360107;05/15/2012;03:28 PM;7.0;AGGRAVATED ASSAULT;DISORDERLY CONDUCT;;;;4105 W VILLARD AV
121360149;05/15/2012;05:04 PM;5.0;ALL OTHER LARCENY;;;;;4030 N TEUTONIA AV
121360163;05/15/2012;06:41 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4145 N 13TH ST #UPR
121360187;05/15/2012;10:13 PM;5.0;AGGRAVATED ASSAULT;;;;;2019 W ROOSEVELT DR
121370002;05/15/2012;11:39 PM;7.0;BURGLARY/BREAKING AND ENTERING;;;;;1737 W HAMPTON AV
121350022;05/14/2012;04:23 AM;5.0;SIMPLE ASSAULT;ALL OTHER OFFENSES;;;;2801 W ATKINSON AV #202
121350044;05/14/2012;09:08 AM;4.0;MOTOR VEHICLE THEFT;;;;;5682 N 36TH ST
121350070;05/14/2012;12:10 PM;5.0;SIMPLE ASSAULT;;;;;4539 N TEUTONIA AV #1
121350097;05/14/2012;03:03 PM;4.0;SHOPLIFTING;;;;;5115 W GOOD HOPE RD
121350132;05/14/2012;06:24 PM;4.0;ALL OTHER LARCENY;;;;;6544 N 49TH CT
121350162;05/14/2012;08:02 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4029 N 18TH ST
121350180;05/14/2012;10:36 PM;7.0;AGGRAVATED ASSAULT;;;;;3107 W FAIRMOUNT AV
121350180;05/14/2012;10:36 PM;7.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;TRESPASSING;;;;3107 W FAIRMOUNT AV
121360019;05/14/2012;10:33 PM;7.0;ARSON;;;;;4672 N PARKWAY AV
121340012;05/13/2012;12:32 AM;5.0;ROBBERY;;;;;2900 W ROOSEVELT DR
121340035;05/13/2012;08:17 AM;5.0;AGGRAVATED ASSAULT;;;;;4032 N 24TH PL
121340039;05/13/2012;08:55 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4556 N 29TH ST
121340051;05/13/2012;11:51 AM;5.0;MOTOR VEHICLE THEFT;;;;;1420 W HAUSER AV
121340077;05/13/2012;05:14 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3510 W VILLARD AV
121340117;05/13/2012;11:25 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;3414 W FLORIST AV
121330011;05/12/2012;12:26 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3410 W FLORIST AV #307
121330014;05/12/2012;02:01 AM;7.0;SIMPLE ASSAULT;;;;;5167 N 45TH ST
121330027;05/12/2012;02:50 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;4425 W WOOLWORTH AV
121330050;05/12/2012;08:50 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;4074 N TEUTONIA AV
121330170;05/12/2012;09:14 PM;4.0;ROBBERY;;;;;1639 W CUSTER AV
121330177;05/12/2012;10:00 PM;7.0;AGGRAVATED ASSAULT;;;;;3130 W FAIRMOUNT AV
121320034;05/11/2012;08:32 AM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4304 N 14TH ST
121320051;05/11/2012;10:21 AM;7.0;MOTOR VEHICLE THEFT;;;;;3709 W VILLARD AV
121320063;05/11/2012;10:48 AM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1801 W OLIVE ST
121320073;05/11/2012;11:32 AM;4.0;ALL OTHER LARCENY;;;;;3300 W VILLARD AV
121320094;05/11/2012;02:23 PM;4.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;5457 N LONG ISLAND DR
121320106;05/11/2012;03:48 PM;4.0;ALL OTHER LARCENY;;;;;1935 W SILVER SPRING DR
121320122;05/11/2012;04:43 PM;4.0;SIMPLE ASSAULT;;;;;3717 W JUNIPER CT
121320123;05/11/2012;04:28 PM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;4485 N 20TH ST
121320135;05/11/2012;06:53 PM;7.0;MOTOR VEHICLE THEFT;;;;;5106 N 48TH ST
121320178;05/11/2012;11:22 PM;4.0;AGGRAVATED ASSAULT;;;;;5670 N 36TH ST
121310016;05/10/2012;01:32 AM;4.0;AGGRAVATED ASSAULT;;;;;3500 W VILLARD AV
121310034;05/10/2012;08:11 AM;5.0;ROBBERY;;;;;1928 W CAPITOL DR
121310041;05/10/2012;10:12 AM;7.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;4918 W HAMPTON AV
121310072;05/10/2012;09:27 AM;7.0;ROBBERY;DISORDERLY CONDUCT;;;;3300 W CAPITOL DR
121310081;05/10/2012;02:47 PM;5.0;THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES;;;;;2610 W VICTORY LA
121310133;05/10/2012;07:01 PM;5.0;AGGRAVATED ASSAULT;;;;;4324 N 21ST ST
121310142;05/10/2012;08:13 PM;5.0;ROBBERY;;;;;4390 N 27TH ST
121290053;05/09/2012;03:20 PM;5.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;4155 N 15TH ST
121300012;05/09/2012;02:03 AM;7.0;AGGRAVATED ASSAULT;;;;;4805 N SHERMAN BL
121300044;05/09/2012;08:58 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;1700 W CORNELL ST
121300070;05/09/2012;12:15 PM;5.0;PURSE SNATCHING;;;;;900 W CAPITOL DR
121300106;05/09/2012;04:40 PM;5.0;THEFT FROM MOTOR VEHICLE;;;;;1801 W OLIVE ST
121300114;05/09/2012;03:38 PM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;3924 W GOOD HOPE RD
121300140;05/09/2012;06:43 PM;4.0;AGGRAVATED ASSAULT;;;;;4120 W KAUL AV
121300145;05/09/2012;07:23 PM;4.0;ROBBERY;;;;;3030 W VILLARD AV
121300152;05/09/2012;08:38 PM;5.0;MOTOR VEHICLE THEFT;;;;;2505 W CORNELL ST
121300169;05/09/2012;07:02 PM;4.0;DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY;;;;;5572 N 42ND ST #LOWER
121310003;05/09/2012;11:52 PM;4.0;SIMPLE ASSAULT;;;;;3310 W SILVER SPRING DR
121290012;05/08/2012;02:42 AM;5.0;BURGLARY/BREAKING AND ENTERING;;;;;2008 W CAPITOL DR
121290029;05/08/2012;07:47 AM;4.0;BURGLARY/BREAKING AND ENTERING;;;;;7038 N 42ND ST
121290074;05/08/2012;12:36 PM;4.0;AGGRAVATED ASSAULT;;;;;5628 N 36TH ST
121290084;05/08/2012;03:01 PM;4.0;MOTOR VEHICLE THEFT;;;;;4112 W FLORIST AV
